8인실로 예약 가능한가요?	8인실은 예약 가능해요
아이스 아메리카노 한 잔이랑 라떼 따뜻하게 한 잔 주세요	아이스 아메리카노, 따뜻한 라떼 두 잔 해서 육천 육백 원 결제해드리겠습니다
이런 거는 얼마인데요?	그거는 3만 5천 원이요
삼성페이 이런 것도 가능한가요?	삼성페이는 안 됩니다
호텔 편의시설은 어떤 것이 있어요?	사우나 정도 하실 수 있는 부띠끄 호텔이라고 생각하시면 돼요
302번 송편이랑 인절미 주문하신 거 맞나요?	맞아요
이 가방 한 번 메봐도 되나요?	한 번 메보세요
혼자돼요?	가능하세요
이것도 많이 해요?	여름에 더 많이 하기는 한데 겨울에도 많이 해요
영업은 몇 시부터 몇 시까지 해요?	열 시부터 아홉 시까지 해요
저 화장품 좀 추천 부탁드려요	지성용 기초화장품 중에서 저희가 추천드리는 젤 형태의 에센스가 있어요
해봐도 돼요?	해보셔도 돼요
이런 쿠키 종류는 얼마에요?	저희가 만든 쿠키는 모두 4500원이에요
현금 영수증 해주세요	앞쪽 패드에 전화번호를 입력해주세요
피자 지금 배달가능한가요	가능합니다
이거는 얼마나 해요?	좀 비싸네요
송편 예약은 언제부터 받아요?	다음 주 화요일부터 받을 거예요
수타면이에요?	수타면은 아니고요
체크인이 3시인데 얼리체크인 가능할까요?	현재 객실 준비 중으로 얼리체크인이 되지 않아요
밥은 안 나와요?	밥은 안에 들어있어요
오늘 4명 예약하셨죠?	4명이에요
키오스크에서 현금결제 되나요?	키오스크에서는 카드결제만 가능합니다
치즈돈가스 하나랑 냉모밀 하나 주세요	잠시만 기다려주세요
저 저기 구석에 있을테니 가져다 주실수 있나요?	알겠습니다 .
이 제품은 어떤가요?	먹어본 거라서요
코트 수선 맡겨 놓으면 얼마나 오래 걸려요?	코트 수선은 일주일 걸립니다
전부 오십 프로 할인해요?	겨울 부츠만요
사장님 이 떡은 흰 시루떡이네, 그죠?	이 떡은 인절미예요
백 그램에 이천팔백원 이면 싼 편이에요?	싼 편이에요
영수증 드릴까요?	아니오 버려주세요
요 구두는 얼마에요?	이 구두는 할인해서 23만원이에요
곧 나오는데 조금만 기다리시겠어요?	치즈케이크 2호도 같이 주세요
스킨케어 제품 좀 보여주세요	이게 제일 잘나가는 상품이에요
할부도 되나요?	가능합니다
왕사탕, 어른들 선물용으로 큰 거 있던데요?	선물용 왕사탕은 지금 없어요
드시고 가세요 아니면 포장하세요?	먹고 갈 거에요
네 이층에도 자리가 있나요?	있지만 진동벨이 따로 없어서 음료는 받고 올라가셔야 돼요
삼월 이십팔일 목요일 말씀이신가요?	삼월 이십팔일 목요일이요
이런 거는 얼마예요?	사만 오천 원이요
찜이면 콩나물이랑 양념 넣고 그냥 찌면 되나요?	아귀찜하듯이 코다리도 찜으로 만드시면 되요.
아침에 몇 시부터 몇 시까지 영업하세요?	손님 없으면 일찍 닫고, 아침에는 한 일곱 시 쯤 문열어요
포인트 적립 가능해요?	포인트 적립해드려요
지금 바로 계산하겠습니다	편히 쉬세요
그럼 연락처 하나만 주세요	.
현금으로 결제하면 현금영수증 해 주시나요?	현금영수증 해 드려요
6시 염색 예약하고 왔는데요	예약 자리로 안내해드릴게요
떡볶이 떡 사러 왔는데, 그라면 한 몇시쯤 나오나요?	오늘은 떡볶이떡이 안 나와요
바지 기장 수선하는데 얼마에요?	수선 방법에 따라 다른데, 접어서 바느질 하면 삼천 원입니다
차는 어디 세워놓고 오는게 빨라요	밑에 유료 주차장있어요
피어싱 종류는 여기에 있는 것이 전부인가요?	안 쪽에 다른 제품들도 진열되어있습니다
보통 신발 가격 13만원 선이라고 보면 된다 그죠?	신발 발목 짧은 거는 할인되면 13만원 정도, 긴거는 15만원, 16만원 정도예요
기프티콘 여기있어요	포장되면 불러드릴게요
헤이즐넛 시럽도 조금넣어 주실 수 있나요?	헤이즐넛 시럽은 500원 추가됩니다.
포켓볼을 할 수 있나요?	중앙에 하나 있습니다
따뜻할까요?	안에 기모가 살짝 들어 있어요
여기 입장료 얼마에요?	대인 1명 9000원입니다
린스는 없고 샴푸만 있어요?	이거 하나만 쓰시면 돼요, 린스는 필요가 없어요
주로 발 편한 신발로 어떤 게 나가요?	발이 편한 건 주로 이런게 많이 나가요
신상은 언제 나와예?	신상은 다음 주돼야 들어와요
4월 6일 주말, 1박 2일로 이용하면 숙박비가 얼마인가요?	주말 2인이면 14만4천원이에요
이거 신어봐도되요?	전제품 착용가능합니다
이런거도 여학생들 좋아해요?	여학생들은 이런 스타일을 별로 선호하지 않습니다.
냉장고에 얼마나 보관할 수 있어요?	빨리 드실수록 좋죠
중국집에서 배달 오면 저쪽으로 부탁해요	드시고 그릇은 당구장 밖에 부탁드려요
네 메뉴판 잠깐 보여주시겠어요?	맞습니다
어떤 디자인으로 원하세요?	기장을 줄이고 카라를 손보고 싶어서요
조식도 제공되나요?	조식으로 간단한 빵과 음료, 과일이 제공돼요
저는 아이스 아메리카노 한 잔 주세요	오천 원 결제해 드리겠습니다
사이즈는 다 있어요?	키즈라서 사이즈가 40까지 밖에 안 나와요
색깔은 순해보이는 거 같네요?	색깔이 순한 라인이에요
어떤 부위 고기로 드릴까요?	된장찌개에 넣을 건데요
여기 걸려있는 거는 다 세일 제품이에요?	안에도 다 세일해요
현금영수증 해드릴까요?	해주세요
짐 좀 방으로 옮겨주실 수 있나요?	18층으로 가져다 놓겠습니다
요즘은 어떤 거 많이 해요?	이런 것도 잘 나가요
4구 치려는데 얼마인가요?	10분에 천 원입니다
그럼 기본하나 곱배기하나 가져다 주세요	알겠습니다
여기 와이파이도 돼요?	카운터 앞에 비밀번호 적혀있어요
현금영수증 끊어줄 수 있어요?	여기 번호 누르시면 돼요
초등학생 가방 중 가장 저렴한 것은 얼마인가요?	2만원 부터 있습니다
머리 길이가 어느 정도인가요?	거의 허리까지 길었어요
지금 하나 먹게 비타민 음료도 같이 주세요	5800원입니다
이 신발하고 2만원짜리 신발하고 하고 뭔 차이에요?	이 신발은 중국산이고 방수가 잘 되지 않아요
잠깐 껴봐도 될까요?	착용은 불가능하세요
어느정도 걸릴가요?	40분정도 걸립니다.
오늘은 애플파이를 사가야겠어요	애플파이, 좋은 선택이세요
명절 때도 하나봐요?	첫 날은 제사음식 팔고 당일엔 하지 않아요
다 구십프로 해서 팔만 원인 거예요?	팔십프로 해서 십 칠 만 오천 원이에요
이 모바일 쿠폰 사용 가능한가요?	한 번 확인해보겠습니다
5만 원짜리 방이랑 6만 원짜리 방 어느 방으로 드릴까요?	5만 원짜리 방으로 주세요
안 드시는 거나 못 드시는 거 말씀해주시겠어요?	야채 특별히 못 먹는 건 없어요
주차는 어디에서 해요?	알아서 하셔야 해요
커트와 염색을 완료하려면 시간은 어느정도 걸리죠?	1시간30분 이요
그럼 커피와 어우러지는 케이크도 추천해 주세요	상큼 한 블루베리 머핀이나 레드벨벳 크림치즈케이크가 어울립니다
차돌박이는 언제쯤 갔다 놓아요?	차돌박이는 곧 작업해서 들어올 거에요
갱년기 약은 어떤 게 있어요?	훼라민큐랑 중간단계에 있을때 드시는 약 있습니다
몇 시에 문 열어요?	아침에 우리는 일곱 시부터 하고요 다른 곳은 모르겠어요
침대는 트윈인가요, 싱글인가요?	싱글베드 2개예요
뭐 드릴까요?	초새우
그러면 밍크 같은 것도 다 보내겠다 그죠	밍크는 모피 전문점에 보내야죠
혹시 진한 색 청바지는 어디 있나요?	안쪽으로 들어가시면 있습니다
증상이 심하신 건 아니죠?	A감기약 으로 하루에 식후 세 번 복용하시면 됩니다
이 제품 어떠세요?	이 제품은 향이 좋네요
치마는 얼마에요?	치마는 육 천원입니다
여기 단팥빵에 다른 뭐가 들어갔나요?	이 단팥빵은 견과류가 들어가서 고소해요
흡연실은 따로 있는 있나요?	흡연실은 따로 있습니다
제가 찾는 것은 가죽도 좋지만 인조가죽을 찾아요	여긴 제품이 다양해서 고르기 좋은데요
포켓볼 자리도 있나요?	현재는 없습니다
이거는 가방 장식도 있네?	그거는 고리예요
케이크 위에 올라가 있는 건 뭐예요?	아몬드예요.
쿠폰이나 할인 혜택 같은 건 있나요?	평상시에 쿠폰이 같이 가고 배달의 민족에서 주문하시면 좀 더 저렴할거에요
그럼 보고오신것 보여 주실수 있나요?	보여드릴께요
이런 캐리어는 얼마 정도 해요?	그거는 6만 원입니다
조식 포함 한 가격인가요?	조식은 따로 비용 결제하셔야 해요
네 3개월 할부해주세요	서명해주세요
요 색깔밖에 없어요?	검정도 있어요
라지 사이즈는 추가 금액이 있나요?	500원 추가하시면 됩니다
한 번 발라봐도 되나요?	앞에 테스트 제품 다 있어요
계산은 배달 오면 배달부에게 하는 거죠?	게임비만 저에게 내시면 됩니다
네 몇 시에 오실 수 있으세요?	한 2시쯤 올 수 있을 것 같아요
흡연실은 어디에요?	흡연실은 왼쪽으로 가시면 있어요
진미김밥은 뭐예요?	진미 들어가는 약간 매콤한 김밥이에요
제휴 할인되는 카드 있나요?	제휴 할인 카드는 없고 조금 저렴하게 예약하시려면 인터넷 사이트로 하시는 편이 나아요
요고는 얼마에요?	이것은 14만 5천 원이에요
오늘, 내일 1박 2일 예약한 사람인데요	펜션 안내해 드릴게요
차는 어디에 세울 수 있어요?	주차장은 따로 없어요
네, 헤나같은 염색도 하나요?	헤나는 안해요
오만 원 해가 고치면, 현대식으로 수선 해주나요?	현대식으로 수선해 드립니다
1시간에 얼마에요?	1500원이에요
바비큐는 얼마에요?	바비큐는 2인 기준 2만5천원이에요
네 무슨 문제가 있나요?	여기 스피커가 안 나오는 것 같아요
시루떡은 얼마예요?	시루떡 가격은 만팔천 원이에요
커트는 얼마에요?	저희는 염색만합니다
학생들이 먹는 영양제 같은 게 어떤게 있어요?	보통 잘 나가는 제품은 아로나민인데, 공부할 때 집중력 강화에 좋고 피로 회복에도 좋습니다
어떤 반찬을 찾으세요?	김치랑 젓갈류 좀 사려고요
식빵 있어요?	우유 식빵 있어요
일부러 이렇게 삐딱하게 해놨나 봐요?	옆으로 기울일 수 있게 디자인 나온 거예요
가게 앞에 주차 단속하나요?	한 10분 정도까지는 괜찮습니다
어떤 색깔이 잘 나가나요?	포인트가 될 수 있는 원색이 잘 나가는 편입니다
네 여기 아침 식사된다고 적혀 있던데 몇 시부터 하시는가요?	일곱 시부터 해요
어울릴만한 치마도 하나 추천해주세요	그 블라우스에는 이 치마가 어울려요
햄버거 종류 어떤 게 잘 나가요? 제가 잘 안 먹어 봐가지고	누가 드세요? 보통은 불고기버거하고 새우버거하고 핫프레스 버거 이렇게 세 개가 제일 잘나가요
한 몇 분걸려요?	십분 정도요
어떤 색상이 있죠?	골드와 실버 그리고 플레티넘이 있어요
감은 얼마씩 하나요?	감은 하나에 이천오백 원이에요.
그럼 세트메뉴로 하나 주세요	만 이천 원입니다
당구장 가봤나 봐요?	당구 좋아해요
산미가 많이 들어간 커피는 뭐가 있을까요?	에티오피아 커피가 있습니다
초 필요하세요?	초는 괜찮아요
이 떡은 뭐예요?	이 떡은 무떡이에요
얼음은 그냥 무료로 주시나요?	무료입니다
침대는 몇 개인가요?	침대는 두 개입니다
가격대는 요 종류는 요거 뿐인가요?	스틱은 다른 제품도 있는데, 고객님이 많이 건조하다고 하셔서 촉촉한 걸 권유해드린 거예요
악세서리 어떤 거 찾으세요?	스카프 같은 거
방 있어요?	있어요
피자는 다 8000원에 동일 금액인가요?	아니에요 6000원부터 13000원까지 있어요
토너는 어디 있어요?	요쪽 라인이 토너예요
이 옷 그레이색깔은 어딨어요?	제가 한 번 찾아볼게요
따뜻한 걸로 드릴까요?	따뜻한 걸로 주세요
펌 얼마에요?	5만원입니다
사이즈는 어떻게 되나요?	프리사이즈입니다
돌잔치 준비때문에 떡을 돌리려고 하거든요	아 많이 주문하시려고 하는군요
그럼 저는 은색으로 주세요!	고객님 결제도와드릴게요
같은 라인 스킨로션도 있어요?	있어요
조식 말고 다른 편의시설 이용할 수 있는 건 없나요?	지금 다른 준비된 시설은 없어요
어른 선물하려는데 세트는 어떤 거 있어요?	꽃송이 라인 세트, 행사하는데 보여드릴게요
바지가 근데 이렇게 다 짧게 나와요?	손님께는 짧지 않을 거예요
굽이 좀 특이하게 돼있네요?	샤넬 굽입니다
젓가락은 어디에 있어요?	테이블 옆에 있는데요
이 항정살로 5근 주세요	항정살로 5근 드릴게요
토요일까지 2단으로  만들어서 주세요	토요일 오전 10시 이후에 오시면 됩니다
